ID_Venta,Fecha,Producto,Cantidad,Precio_Unitario,Total
1,2024-04-20,Laptop,2,800,1600
2,2024-04-21,Teléfono,3,400,1200
3,2024-04-21,Tablet,1,300,300
4,2024-04-22,Impresora,1,600,600
5,2024-04-22,Teclado,2,50,100
6,2024-04-23,Monitor,1,300,300
7,2024-04-23,Ratón,3,20,60
8,2024-04-24,Teclado,1,50,50
9,2024-04-24,Auriculares,2,100,200
10,2024-04-25,Laptop,1,800,800
11,2024-04-25,Teléfono,2,400,800
12,2024-04-26,Tablet,3,300,900
13,2024-04-26,Impresora,1,600,600
14,2024-04-27,Laptop,2,800,1600
15,2024-04-27,Teléfono,1,400,400
16,2024-04-28,Tablet,1,300,300
17,2024-04-28,Impresora,2,600,1200
18,2024-04-29,Ratón,1,20,20
19,2024-04-29,Teclado,2,50,100
20,2024-04-30,Auriculares,1,100,100
21,2024-04-30,Laptop,1,800,800
22,2024-05-01,Teléfono,2,400,800
23,2024-05-01,Tablet,3,300,900
24,2024-05-02,Impresora,1,600,600
25,2024-05-02,Teclado,2,50,100
26,2024-05-03,Laptop,2,800,1600
27,2024-05-03,Ratón,1,20,20
28,2024-05-04,Teléfono,3,400,1200
29,2024-05-04,Tablet,1,300,300
30,2024-05-05,Impresora,1,600,600
31,2024-05-05,Teclado,2,50,100
32,2024-05-06,Auriculares,1,100,100
33,2024-05-06,Laptop,1,800,800
34,2024-05-07,Teléfono,2,400,800
35,2024-05-07,Tablet,3,300,900
36,2024-05-08,Impresora,1,600,600
37,2024-05-08,Teclado,2,50,100
38,2024-05-09,Laptop,2,800,1600
39,2024-05-09,Ratón,1,20,20
40,2024-05-10,Teléfono,3,400,1200
41,2024-05-10,Tablet,1,300,300
42,2024-05-11,Impresora,1,600,600
43,2024-05-11,Teclado,2,50,100
44,2024-05-12,Auriculares,1,100,100
45,2024-05-12,Laptop,1,800,800
46,2024-05-13,Teléfono,2,400,800
47,2024-05-13,Tablet,3,300,900
48,2024-05-14,Impresora,1,600,600
49,2024-05-14,Teclado,2,50,100
50,2024-05-15,Laptop,2,800,1600
51,2024-05-15,Ratón,1,20,20
52,2024-05-16,Teléfono,3,400,1200
53,2024-05-16,Tablet,1,300,300
54,2024-05-17,Impresora,1,600,600
55,2024-05-17,Teclado,2,50,100
56,2024-05-18,Auriculares,1,100,100
57,2024-05-18,Laptop,1,800,800
58,2024-05-19,Teléfono,2,400,800
59,2024-05-19,Tablet,3,300,900
60,2024-05-20,Impresora,1,600,600
61,2024-05-20,Teclado,2,50,100
62,2024-05-21,Laptop,2,800,1600
63,2024-05-21,Ratón,1,20,20
64,2024-05-22,Teléfono,3,400,1200
65,2024-05-22,Tablet,1,300,300
66,2024-05-23,Impresora,1,600,600
67,2024-05-23,Teclado,2,50,100
68,2024-05-24,Auriculares,1,100,100
69,2024-05-24,Laptop,1,800,800
70,2024-05-25,Teléfono,2,400,800
71,2024-05-25,Tablet,3,300,900
72,2024-05-26,Impresora,1,600,600
73,2024-05-26,Teclado,2,50,100
74,2024-05-27,Laptop,2,800,1600
75,2024-05-27,Ratón,1,20,20
76,2024-05-28,Teléfono,3,400,1200
77,2024-05-28,Tablet,1,300,300
78,2024-05-29,Impresora,1,600,600
79,2024-05-29,Teclado,2,50,100
80,2024-05-30,Auriculares,1,100,100
81,2024-05-30,Laptop,1,800,800
82,2024-05-31,Teléfono,2,400,800
83,2024-05-31,Tablet,3,300,900
84,2024-06-01,Impresora,1,600,600
85,2024-06-01,Teclado,2,50,100
86,2024-06-02,Laptop,2,800,1600
87,2024-06-02,Ratón,1,20,20
88,2024-06-03,Teléfono,3,400,1200
89,2024-06-03,Tablet,1,300,300
90,2024-06-04,Impresora,1,600,600
91,2024-06-04,Teclado,2,50,100
92,2024-06-05,Auriculares,1,100,100
93,2024-06-05,Laptop,1,800,800
94,2024-06-06,Teléfono,2,400,800
95,2024-06-06,Tablet,3,300,900
96,2024-06-07,Impresora,1,600,600
97,2024-06-07,Teclado,2,50,100
98,2024-06-08,Laptop,2,800,1600
99,2024-06-08,Ratón,1,20,20
100,2024-06-09,Teléfono,3,400,1200
